,CP,Municipio,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
0,48001,Abadiño,17251,17737,16516,19651,20761,20200,19518,19032,18161,16924,17217,18915,17319,14805,19206,20010,20392,20306.0,20676.0,19577.0
1,20001,Abaltzisketa,2019,2230,2154,2067,2213,1991,2305,1843,2038,2407,2708,2140,2399,2235,2272,2629,2022,2224.0,2084.0,2194.0
2,48002,Abanto y Ciérvana-Abanto Zierbena,6706,6429,5745,6994,7353,7111,6978,6667,6765,6221,5885,5466,5223,4841,6017,6271,5755,5384.0,4998.0,4378.0
3,20002,Aduna,37074,38103,35409,34821,35674,32632,29242,31728,30783,32236,31423,30629,30863,29824,36066,37509,38363,37141.0,40909.0,36426.0
4,20016,Aia,6531,7155,7123,7692,8087,7397,7040,6905,7158,7488,7484,7689,7592,7496,9053,10436,10261,10409.0,10083.0,9221.0
5,20003,Aizarnazabal,103024,113178,105348,116942,119525,114891,91979,103913,108955,115072,96127,125039,131642,111164,137162,143819,140325,153662.0,152864.0,141357.0
6,48911,Ajangiz,51495,58546,56033,66249,65237,64408,60579,61063,57630,58691,60016,62265,59699,50538,55479,3402,3178,3211.0,3355.0,3221.0
7,20004,Albiztur,6361,6534,6135,7857,7835,7401,8579,4670,4150,8870,10566,11291,11286,11199,11160,11041,10990,10532.0,8593.0,8820.0
8,20005,Alegia,12849,12580,11700,12372,13021,11592,11345,10524,9998,10551,9881,10723,10838,9948,10926,12283,10643,9797.0,9719.0,7703.0
9,1001,Alegría-Dulantzi,3754,3959,3868,4300,4436,3786,5655,6625,7140,7393,7885,7835,8180,8467,9900,9923,9557,9681.0,8950.0,9015.0
10,20006,Alkiza,1917,1895,1931,1892,1927,1903,1919,1951,1813,1854,1851,2347,2514,2570,2657,2798,2646,2735.0,2648.0,2610.0
11,48912,Alonsotegi,6076,6288,6387,6715,6579,6643,6491,7294,7228,7418,6788,7657,9029,9834,11448,10150,10411,10121.0,10491.0,10628.0
12,20906,Altzaga,1730,1766,1745,0,1869,1867,1746,1877,1917,1860,2203,2167,2353,1937,2545,2136,2041,2039.0,1170.0,3308.0
13,20007,Altzo,38850,46695,39082,40092,42769,42277,36461,40152,42095,43408,41469,44444,42784,39158,37272,40319,37659,29988.0,31075.0,33989.0
14,20008,Amezketa,96255,109489,92346,93304,93144,94804,86508,84641,88229,86220,86950,81047,79985,77344,72434,15392,21181,15167.0,20088.0,20416.0
15,48003,Amorebieta-Etxano,11961,12045,11153,11849,13191,12766,12552,11968,11606,11517,11609,11551,11733,11227,14114,14406,14396,14182.0,13905.0,13432.0
16,48004,Amoroto,6413,6391,5993,6163,6089,5962,5620,5758,5326,5795,6105,6185,5943,6178,6059,6166,5939,5152.0,5139.0,4998.0
17,1002,Amurrio,31289,20426,22131,29741,35387,36235,32180,34660,36919,30829,35266,35754,31535,23925,41644,40622,41052,39094.0,43676.0,40111.0
18,20009,Andoain,5891,5811,5658,6257,6521,6615,6724,6598,6201,6197,6065,5506,5570,5481,6034,6643,7838,7517.0,7297.0,7553.0
19,20010,Anoeta,3286,3385,3563,3892,4115,4134,4044,4768,4511,4197,4318,4670,4408,4485,5113,4960,4232,3993.0,3371.0,3030.0
20,20011,Antzuola,6891,6846,6496,7540,8043,8398,7613,7588,7684,8675,9678,8824,8307,7389,8863,8988,8725,8741.0,9011.0,8792.0
21,48005,Arakaldo,1849,1966,1879,1911,2569,2914,2305,2320,3633,5225,6020,6924,8273,10119,11123,9821,7507,6187.0,6562.0,6097.0
22,20012,Arama,2945,2578,2654,2842,2869,2818,2891,2993,2988,3139,3590,3872,4106,4339,5611,5516,4032,4221.0,4229.0,3824.0
23,1003,Aramaio,1714,1580,1292,1316,1574,1452,1384,1551,1564,1613,1415,1548,1438,2378,3626,3742,3468,3711.0,4077.0,3593.0
24,48006,Arantzazu,2645,2699,2683,2785,2895,3025,2930,2863,2762,2925,2915,3487,3308,3200,2775,2839,2762,2615.0,2482.0,2357.0
25,48093,Areatza,2097,2031,1991,2220,2317,2438,2292,2409,2338,2263,2411,2458,2691,2749,2434,2403,2475,2499.0,2427.0,2352.0
26,20013,Aretxabaleta,4886,5719,5114,5252,5546,6034,5868,5701,5453,5431,5281,5015,5171,4838,5581,6529,6761,6699.0,6940.0,6775.0
27,1006,Armiñón,10698,14406,9690,14182,15971,18666,14849,13453,12542,10441,11177,12412,12736,11429,22315,41719,41180,26672.0,28168.0,24970.0
28,1037,Arraia-Maeztu,10583,9474,10489,10451,10452,9803,8793,9772,10181,9595,11293,11340,13372,13793,16634,15580,18703,15671.0,17468.0,17547.0
29,48009,Arrankudiaga,4934,4941,4815,4830,5063,4989,4851,4942,4977,5561,6023,6294,6581,7303,8085,10259,12235,11961.0,12095.0,12349.0
30,20055,Arrasate/Mondragón,10125,10242,9410,10015,9897,10236,10541,9702,9475,9881,10447,10277,10406,9807,10765,10610,9571,9215.0,8913.0,9069.0
31,48914,Arratzu,2440,2292,2280,2430,2484,2691,2529,2714,2550,2430,3151,2685,2977,3150,2204,2173,2697,2555.0,2608.0,2630.0
32,1008,Arratzua-Ubarrundia,9528,10032,9971,10570,10171,10544,10772,10743,10483,11144,11867,12913,13198,13335,12614,12435,13571,12948.0,13307.0,15061.0
33,48010,Arrieta,2423,2892,2860,2796,2957,2856,2819,2808,2817,2942,3228,3358,3563,4101,3637,3857,3767,4515.0,2191.0,3228.0
