Título,Precio,Metros cuadrados,Habitaciones,Garaje
"Piso en calle de la Ronda, 56, Centro, Castro-Urdiales",495.000€,128 m²,4 hab.,Si
"Chalet pareado en calle Aureliano Linares Rivas, Centro, Castro-Urdiales",750.000€,400 m²,6 hab.,Si
"Chalet pareado en calle Aureliano Linares Rivas, 17, Centro, Castro-Urdiales",650.000€,350 m²,5 hab.,No
"Piso en calle Arturo Dúo Vital, 18, Centro, Castro-Urdiales",175.000€,51 m²,2 hab.,No
"Piso en paseo Ocharan Mazas, 2, Centro, Castro-Urdiales",483.000€,138 m²,4 hab.,Si
"Piso en calle Leonardo Rucabado, Centro, Castro-Urdiales",250.000€,111 m²,3 hab.,No
"Piso en calle los Huertos, 14, Centro, Castro-Urdiales",190.000€,99 m²,3 hab.,No
"Piso en calle República Argentina, 5, Centro, Castro-Urdiales",420.000€,154 m²,4 hab.,No
"Piso en calle República Argentina, 5, Centro, Castro-Urdiales",380.000€,154 m²,4 hab.,No
"Piso en calle de la Ronda, Centro, Castro-Urdiales",210.000€,65 m²,2 hab.,No
"Piso en calle República Argentina, Centro, Castro-Urdiales",275.000€,166 m²,5 hab.,No
"Ático en calle Correria, Centro, Castro-Urdiales",167.000€,101 m²,3 hab.,No
"Piso en calle de Aranzal, 5, Centro, Castro-Urdiales",240.000€,93 m²,3 hab.,No
"Piso en calle Belén, 3, Centro, Castro-Urdiales",430.000€,84 m²,2 hab.,No
"Piso en República Argentina, s/n, Centro, Castro-Urdiales",350.000€,140 m²,4 hab.,No
"Casa o chalet independiente en calle Aureliano Linares Rivas, 17, Centro, Castro-Urdiales",715.000€,550 m²,7 hab.,Si
"Ático en calle Los Caserios, Centro, Castro-Urdiales",245.000€,55 m²,1 hab.,Si
"Chalet adosado en calle Aureliano Linares Rivas, 17, Centro, Castro-Urdiales",640.000€,317 m²,4 hab.,Si
"Piso en Centro, Castro-Urdiales",162.000€,96 m²,4 hab.,No
"Piso en paseo Ocharan Mazas, Centro, Castro-Urdiales",483.000€,138 m²,4 hab.,No
"Piso en calle Eladio Laredo, Centro, Castro-Urdiales",260.000€,64 m²,2 hab.,Si
"Piso en paseo Menéndez Pelayo, 14, Centro, Castro-Urdiales",275.000€,82 m²,2 hab.,Si
"Piso en calle República Argentina, Centro, Castro-Urdiales",420.000€,154 m²,4 hab.,No
"Piso en calle del Voluntariado, Centro, Castro-Urdiales",265.000€,81 m²,2 hab.,Si
"Chalet adosado en calle Aureliano Linares Rivas, s/n, Centro, Castro-Urdiales",660.000€,300 m²,5 hab.,Si
"Casa o chalet independiente en Barrio Pando, Centro, Castro-Urdiales",545.000€,360 m²,4 hab.,Si
"Chalet adosado en Montesolmar, 22, Centro, Castro-Urdiales",640.000€,350 m²,4 hab.,Si
"Piso en republica argentina, 9, Centro, Castro-Urdiales",380.000€,143 m²,4 hab.,No
"Piso en calle de la Ronda, 30, Centro, Castro-Urdiales",225.000€,88 m²,3 hab.,No
"Piso en Bajada Estación, Centro, Castro-Urdiales",164.900€,97 m²,3 hab.,No
"Ático en avenida la Constitución, 2, Centro, Castro-Urdiales",600.000€,123 m²,3 hab.,No
"Piso en calle Los Huertos, 19, Centro, Castro-Urdiales",190.000€,86 m²,3 hab.,No
"Piso en aranzal, 11, Centro, Castro-Urdiales",240.000€,93 m²,3 hab.,No
"Piso en calle Arturo Dúo Vital, Centro, Castro-Urdiales",175.000€,60 m²,2 hab.,No
"Piso en calle Javier Echevarría, Centro, Castro-Urdiales",245.000€,108 m²,3 hab.,No
"Piso en calle Arturo Dúo Vital, 1, Centro, Castro-Urdiales",175.000€,60 m²,2 hab.,No
"Piso en calle de Manuel Díaz Munío, Centro, Castro-Urdiales",330.000€,114 m²,3 hab.,Si
"Piso en calle República Argentina, Centro, Castro-Urdiales",420.000€,154 m²,4 hab.,No
"Chalet pareado en calle Aureliano Linares Rivas, Centro, Castro-Urdiales",750.000€,404 m²,6 hab.,Si
"Piso en calle los Huertos, Centro, Castro-Urdiales",190.000€,95 m²,3 hab.,No
"Piso en republica argentina, Centro, Castro-Urdiales",380.000€,140 m²,3 hab.,No
"Piso en paseo Ocharan Mazas, Centro, Castro-Urdiales",483.000€,122 m²,4 hab.,Si
"Piso en iglesia nueva, Centro, Castro-Urdiales",240.000€,120 m²,4 hab.,No
"Piso en calle Los Caserios, Centro, Castro-Urdiales",280.000€,65 m²,2 hab.,Si
"Piso en calle Arturo Dúo Vital, 16, Centro, Castro-Urdiales",175.000€,51 m²,2 hab.,No
"Piso en Centro, Castro-Urdiales",175.000€,51 m²,2 hab.,No
"Piso en calle Arturo Dúo Vital, Centro, Castro-Urdiales",175.000€,51 m²,2 hab.,No
"Piso en Centro, Castro-Urdiales",190.000€,99 m²,3 hab.,No
"Chalet pareado en calle Aureliano Linares Rivas, Centro, Castro-Urdiales",650.000€,350 m²,5 hab.,Si
"Piso en calle la Rúa, Centro, Castro-Urdiales",135.000€,65 m²,3 hab.,No
"Piso en Centro, Castro-Urdiales",150.000€,85 m²,2 hab.,No
"Piso en republica argentina, Centro, Castro-Urdiales",370.000€,134 m²,4 hab.,No
"Piso en Centro, Castro-Urdiales",240.000€,93 m²,3 hab.,No
"Piso en calle Ardigales, 24, Centro, Castro-Urdiales",159.900€,60 m²,2 hab.,No
"Piso en calle Arturo Dúo Vital, Centro, Castro-Urdiales",175.000€,51 m²,2 hab.,No
"Ático en calle Los Caserios, s/n, Centro, Castro-Urdiales",245.000€,55 m²,1 hab.,Si
"Piso en calle Melitón Pérez del Camino, 4, Centro, Castro-Urdiales",410.000€,145 m²,4 hab.,No
"Ático en avenida de la Libertad, 15, Centro, Castro-Urdiales",260.000€,98 m²,2 hab.,Si
"Piso en calle Ardigales, s/n, Centro, Castro-Urdiales",139.000€,65 m²,2 hab.,No
"Piso en calle Bajada del Chorrillo, Centro, Castro-Urdiales",240.000€,90 m²,3 hab.,No
"Piso en calle Los Caserios, 8, Centro, Castro-Urdiales",329.000€,120 m²,3 hab.,Si
"Piso en calle Republica Argentina, Centro, Castro-Urdiales",380.000€,150 m²,5 hab.,No
"Piso en Centro, Castro-Urdiales",483.000€,122 m²,4 hab.,Si
"Piso en calle Siglo XX, 14, Centro, Castro-Urdiales",187.000€,96 m²,3 hab.,No
"Piso en calle República Argentina, Centro, Castro-Urdiales",380.000€,134 m²,4 hab.,No
"Casa o chalet independiente en Barrio las Rozas, 25 -20, Centro, Castro-Urdiales",1.280.000€,700 m²,8 hab.,Si
"Dúplex en calle Nuestra Señora, Centro, Castro-Urdiales",150.000€,135 m²,3 hab.,No
"Piso en calle la Rúa, Centro, Castro-Urdiales",177.000€,110 m²,4 hab.,No
"Piso en calle Antonio Hurtado de Mendoza, Centro, Castro-Urdiales",315.000€,170 m²,4 hab.,No
"Piso en calle Los Caserios, 1, Centro, Castro-Urdiales",320.000€,92 m²,2 hab.,Si
"Piso en calle Leonardo Rucabado, 25, Centro, Castro-Urdiales",239.000€,100 m²,3 hab.,No
"Chalet adosado en calle Aureliano Linares Rivas, Centro, Castro-Urdiales",640.000€,320 m²,5 hab.,Si
"Piso en calle Arturo Dúo Vital, 18, Centro, Castro-Urdiales",175.000€,47 m²,2 hab.,No
"Casa o chalet independiente en Aureliano Linares Rivas, Centro, Castro-Urdiales",620.000€,700 m²,6 hab.,Si
"Piso en calle Arturo Dúo Vital, Centro, Castro-Urdiales",175.000€,51 m²,2 hab.,No
"Piso en calle Los Caserios, 8, Centro, Castro-Urdiales",283.900€,128 m²,4 hab.,Si
"Piso en calle Nuestra Señora, s/n, Centro, Castro-Urdiales",175.000€,65 m²,2 hab.,No
"Piso en calle de Aranzal, 5, Centro, Castro-Urdiales",240.000€,90 m²,3 hab.,No
"Piso en calle Correria, Centro, Castro-Urdiales",162.000€,96 m²,4 hab.,No
"Piso en calle Los Caserios, Centro, Castro-Urdiales",280.000€,74 m²,2 hab.,Si
"Piso en calle República Argentina, Centro, Castro-Urdiales",350.000€,143 m²,4 hab.,No
"Casa o chalet independiente en calle Aureliano Linares Rivas, Centro, Castro-Urdiales",1.280.000€,700 m²,8 hab.,Si
"Chalet adosado en calle Aureliano Linares Rivas, Centro, Castro-Urdiales",640.000€,350 m²,4 hab.,Si
"Ático en calle de Silvestre Ochoa, Centro, Castro-Urdiales",420.000€,99 m²,2 hab.,No
"Chalet pareado en calle Aureliano Linares Rivas, Centro, Castro-Urdiales",640.000€,350 m²,5 hab.,Si
"Piso en calle Arturo Dúo Vital, 18, Centro, Castro-Urdiales",175.000€,51 m²,2 hab.,No
"Piso en calle República Argentina, Centro, Castro-Urdiales",350.000€,130 m²,4 hab.,No
"Piso en Centro, Castro-Urdiales",240.000€,90 m²,3 hab.,No
"Piso en Republica Argentina, 2, Centro, Castro-Urdiales",380.000€,134 m²,4 hab.,No
"Piso en paseo Menéndez Pelayo, Centro, Castro-Urdiales",275.000€,82 m²,2 hab.,Si
"Piso en calle Los Caserios, Centro, Castro-Urdiales",283.900€,128 m²,4 hab.,Si
"Piso en calle de la Ronda, Centro, Castro-Urdiales",189.000€,66 m²,2 hab.,No
"Chalet adosado en Urbanización Montesolmar, Centro, Castro-Urdiales",670.000€,360 m²,5 hab.,Si
"Piso en calle Arturo Dúo Vital, Centro, Castro-Urdiales",175.000€,51 m²,2 hab.,No
"Piso en paseo Menéndez Pelayo, Centro, Castro-Urdiales",275.000€,82 m²,2 hab.,Si
"Piso en calle San Francisco, Centro, Castro-Urdiales",225.000€,83 m²,2 hab.,No
"Chalet pareado en calle Aureliano Linares Rivas, Centro, Castro-Urdiales",640.000€,350 m²,4 hab.,Si
"Piso en calle República Argentina, Centro, Castro-Urdiales",380.000€,140 m²,4 hab.,No
"Ático en calle de Silvestre Ochoa, Centro, Castro-Urdiales",420.000€,99 m²,2 hab.,No
"Piso en La Mar, Centro, Castro-Urdiales",150.000€,85 m²,2 hab.,No
"Piso en calle Los Caserios, Centro, Castro-Urdiales",280.000€,60 m²,2 hab.,Si
